name,tournaments,played,won,wonLostPct
Hanne Kyllingstad,4,13,3,23
Dag Victor Kyvik,5,12,6,50
Lorentz Laland,3,7,4,57
Lotta Emilie Laland,1,2,1,50
Vegard Laland,1,2,0,0
Sin Man Lam,2,7,0,0
Elida Frafjord Landa,4,8,1,13
Martha Elisabeth Landa,1,2,0,0
Sigrid Landa,6,16,9,56
Siri Frafjord Landa,1,3,2,67
Trym Landa,10,24,14,58
Ylva Frafjord Landa,8,13,3,23
Haakon Helland Langeland,1,2,0,0
Cornelia Langfeldt,2,6,3,50
Trude Langfeldt,1,3,2,67
Malin Gilje Langvatn,2,4,2,50
Anna Larkina,1,1,0,0
Ole Morten Larsen,2,3,2,67
Runar Haukelid Larsen,1,1,0,0
Iren Larssen,1,3,0,0
Kjetil Lauvdal,6,15,7,47
Marie Schou Lauvland,2,4,2,50
Andreas Law,1,2,0,0
Thomas Rage Leirdal,1,2,1,50
Hanne Lovise Leknes,1,3,1,33
Magnus Leknes,1,2,0,0
Raymond Lende,2,8,7,88
Martin Lenes,2,4,1,25
Ole Tinius Stave Lepsøe,1,4,3,75
Erik Lever,2,5,1,20
Jeremy Lever,1,2,1,50
Kezhia Licardo,1,4,0,0
Kristaps Lieldiens,3,6,3,50
Grethe Lillesund,3,6,1,17
Jacob Ruud Lillesund,1,2,0,0
Henrik Lindeman,2,5,3,60
Richard Lindholm,1,2,0,0
Rune Lindø,2,7,4,57
Fabian Linge,6,16,9,56
Paula Linge,1,2,0,0
Iwona Lipski,1,1,0,0
Jan Ivar Ljosland,3,5,0,0
Mads Ljosland,4,8,4,50
Jeppe Lodding,5,10,5,50
Alexander Lomeland,8,10,5,50
Erik Zimmer Lopez,1,2,0,0
Evelina Lorisova,5,13,9,69
Arkaduisz Lukaszewicz,1,1,0,0
Rosie Lund,6,16,8,50
Thomas Vidar Lund,3,11,8,73
Benedicte Lunde,3,12,8,67
Janne Lundetræ,1,2,1,50
Leonard Peter Lundetræ,3,6,1,17
Lydia Kristine Lundetræ,5,12,5,42
Rune Magnus Lundetræ,1,2,0,0
Håkon Olai Lyche,5,13,8,62
Noah Lünell,1,2,0,0
Alexander Lorentz Lynghaug,2,4,0,0
André Løkken,1,2,0,0
Heine Madland,1,2,1,50
Kristoffer Hundsnes Madland,4,8,1,13
Magnus Gjertsen Mannes,1,4,3,75
Mickaël Mantz,5,17,14,82
Caritha Marianayagam,1,2,1,50
Cyril Marianayagam,1,4,3,75
Hilde Marianayagam,1,3,2,67
Vidar Marsh,3,8,4,50
Jan Gil Martens,2,4,0,0
Gabriel Martin,9,25,14,56
Ida Martin,4,8,0,0
Laurence Martin,2,7,5,71
Pedro Tiago Martins,2,6,6,100
Ole Martinsen,1,3,1,33
Rune Martinsen,3,3,0,0
Anna Sophie Mayer,3,6,2,33
Alastair James McClurg,1,2,0,0
Robin McClusky,17,41,30,73
Pål Arne Mediå,1,3,2,67
Thomas Bjørnstad Meling,1,2,1,50
Nicolai Mellbye,6,9,4,44
David Forbech Mellemstrand,1,2,1,50
Thomas Mellemstrand,1,1,0,0
Sebastian Samuel Meyer,1,2,1,50
Syver-August Meyer,1,2,1,50
Dusan Miklas,2,7,6,86
Benjamin Vaag Miller,1,5,2,40
Sasa Mimic,1,2,1,50
Lars Peder Minsaas,8,20,12,60
Diego Miranda,1,2,0,0
Mathias Mjåland,1,3,2,67
Ulrik Nygård Mjåland,1,4,3,75
Alexander Mohn,1,2,1,50
Frida Sandberg Molden,5,18,12,67
Øyvind Moldrheim,2,8,6,75
Kevin Molstad,1,2,0,0
Rachel Montagu,1,2,0,0
Francesco Montemesola,1,5,3,60
Marco Montemesola,1,2,1,50
Steffen Morsund,1,2,0,0
Sebastian Mortensen,1,2,1,50
Bjørn-Magnus Moslått,1,5,4,80
Luca Mugnaini,1,2,1,50
Thomas Muravez,1,2,1,50
Kristoffer Muri,1,4,3,75
Anne Myhre,8,22,16,73
Ida Myhre,9,23,11,48
Ole Petter Myhre,11,26,12,46
Pia Charlotte Mæhle,3,6,0,0
Cecilie Johannessen Mæland,6,20,14,70
Henrik Aleksander Mæland,5,14,6,43
Tormod Mæland,1,5,5,100
Nina Møller,1,2,0,0
Vemund Møller,3,6,1,17
Helle Møller-Sivertsen,2,5,3,60
Birk Narvestad,2,10,8,80
Rashid Nasir,1,4,3,75
Magda Nasuta,3,6,2,33
Paulina Nasuta,4,9,3,33
Kate Natvig,1,1,0,0
Kristin Natvig,3,7,3,43
Rikki Natvig,3,6,4,67
Sanda-Oana Neagu,3,11,5,45
Gabriel Nedrebø,3,8,5,63
Leah Nese,1,3,2,67
Odd Ivar Nese,2,7,6,86
Rolf Manuel Nese,1,4,3,75
Samuel Nese,2,7,5,71
Stinius Nese,1,4,4,100
Kyrre Nesse,2,4,1,25
Anh Tho Ngo,10,28,13,46
Christopher Ngo,1,2,1,50
Chau N.T. Nguyen,1,2,0,0
Julian Nguyen,1,4,0,0
Khanh Duc Nguyen,19,47,26,55
Kristian Bugge Nicolaisen,1,2,1,50
Pål Vatsvåg Nielsen,1,5,5,100
Håkon Cemanes Nilsen,2,5,3,60
Håkon Nilsen,1,3,2,67
Line Hoff Nilsen,2,6,3,50
Ove Mangor Nilsen,5,10,3,30
John-Sigvard Gamlem Njau,6,16,11,69
Casper Nodeland,1,2,0,0
Bernardo Fonseca Nordang,3,6,1,17
Felix Nordby,1,4,4,100
Peder Nordbø,2,9,7,78
Edit Anita Nordgaard,1,2,1,50
Casper Nordland,3,13,10,77
Fredrik Nordland,1,2,0,0
Rikke Nordvik,7,20,10,50
Christian Noraas,1,3,0,0
Jonas Nyberg,1,4,3,75
Felix Alexander Pihl Nyborg,2,4,2,50
Kristian Nybråten,1,3,0,0
Michelle Nygaard,1,1,0,0
Håvard Næss,9,16,2,13
Jacob Næss,1,1,0,0
Ola Smedberg Næss,2,4,1,25
Torbjørn Næss,1,2,0,0
Tormod Næss,1,2,1,50
Edvard Faa Nårstad,10,34,23,68
Frederik Faa Nårstad,6,26,21,81
Lars Tore Obrestad,3,8,4,50
Benedicte Ognedal,2,4,1,25
Andreas Olaussen,2,6,4,67
Petter Olaussen,2,4,2,50
Daniel Olsen,12,29,19,66
Espen Olsen,11,35,22,63
Eugen Olsen,1,2,0,0
Joshua Asher Olsen,1,2,1,50
Mikal Olsen,8,19,13,68
Rachel Asher Olsen,1,4,3,75
Rebecca Asher Olsen,2,5,3,60
Wenche Olsen,2,4,2,50
Henrik Brandser Olsson,1,3,0,0
Aleksander Omtvedt,1,5,5,100
Lars Opstad,1,2,1,50
Filip Orre,1,3,3,100
Jørgen Orstad,1,4,3,75
Ihor Oryshchenko,1,1,0,0
Yaroslav Oryshchenko,1,4,4,100
Christer Ottesen,1,3,1,33
Per Gunnar Ottosen,4,7,3,43
Anders Owren,1,2,0,0
Magdalena Pachner,1,1,0,0
Gianni Parisi,1,2,1,50
Anders Parr,1,2,1,50
Christian Parr,1,2,1,50
Meda Paulaviciute,1,3,1,33
Benjamin Pedersen,1,2,1,50
Linda Aske Pedersen,1,2,0,0
Vegard Loug Pedersen,2,5,1,20
Nataliia Peresunko,1,2,0,0
Per Inge Persson,4,10,6,60
Emil Pettersen,1,1,0,0
Jarle Pettersen,6,14,8,57
Sebastian Pettersen,1,3,1,33
Heine Pham,1,2,1,50
Rishi Phatak,1,3,2,67
Modestas Plauska,3,12,9,75
Philip Pollestad,2,4,0,0
Jovan Popov,1,2,0,0
Nikolai Bugge Norman Pran,1,3,2,67
Susanna Prokes,1,2,1,50
Matthieu Protat,7,9,2,22
Kestutis Pulokas,1,2,1,50
Nina Pungar,1,2,1,50
Alice Pussac,1,4,1,25
Sergey Pyzh,3,6,2,33
Siarhei Pyzh,1,2,1,50
Audun Paasche,1,2,1,50
Stephanie Marie Quevedo,1,4,2,50
Viktoria Maria Radler,1,2,1,50
Tracey Dawn Raen,1,4,3,75
Thomas Leirda Rage,1,2,1,50
Ole Helliesen Ramsland,5,13,8,62
Per Kristian Ramsland,3,5,0,0
Unn Helliesen Ramsland,9,22,11,50
Christina Randulff,1,2,1,50
Andreas Enggård Rasmussen,19,30,11,37
Ingvild Rasmussen,1,3,2,67
Tobias Aulin Raustøl,2,7,5,71
Marie Ravnestad,1,3,1,33
Paolo Rebora,2,5,1,20
Arild Refsnes,14,29,8,28
Tor Arne Refsnes,22,53,26,49
Bastian Reichborn-Bjørneklett,1,3,2,67
Mathilde Reiersen,3,8,5,63
Elias Reinertsen,3,8,4,50
Bjørn Reiten,12,33,22,67
Sondre Eiane Reiten,12,32,20,63
Toren Reksnis,2,4,2,50
Sigurd Økland Retallack,1,2,0,0
Mona Reymert,7,23,9,39
Jon Ståle Ritland,1,1,0,0
Christian Rivas,1,2,1,50
Leyton Rivera,1,1,0,0
Carlos Rodriguez,1,4,2,50
Nancy Roe,1,2,0,0
Valeria Rojas,1,4,1,25
Veronica Rojas,1,4,0,0
Sangeeta Roopan,1,1,0,0
Carsten Rosskamp,2,5,3,60
Amalie S. Rosten,2,8,0,0
Cendi Rothman,1,3,0,0
Daniel Ortega Rubio,1,2,1,50
Warakoon Ruksanor,2,5,2,40
Igor Rusakiewicz,1,1,0,0
Monika Rusakiewicz,2,3,2,67
Markus Rusov-Hansen,7,16,6,38
Marius Tvedt Rustand,1,4,1,25
Marius Rygh,7,22,14,64
Dennis Rühlow,3,11,9,82
Marius Mæhle Rykhus,9,25,13,52
Nicolai Røgeberg,1,3,0,0
Yosef Saggan,1,2,0,0
Vibeke Sagvåg,1,1,0,0
Andrew Salak,3,4,1,25
Benjamin Salhoff,1,2,1,50
Kurt Jarle Salomonsen,19,50,24,48
Noah Salomonsen,12,28,11,39
Anders Salte,1,2,0,0
Ingrid Undheim Salte,3,7,2,29
Jostein Salvesen,1,2,1,50
Tuang Samte,1,3,2,67
Christoffer Sandsdalen,4,8,6,75
Thomas Sandsdalen,3,6,1,17
Angelica Sandsmark,4,7,0,0
Kristina Sandsmark,2,7,2,29
Liv Sandve,9,29,20,69
Ole Sandve,11,33,19,58
Tor Sandve,9,20,10,50
Vebjørn Baardsen Sandås,1,2,1,50
Mario Saric,1,2,2,100
Mate Saric,1,3,0,0
Izaak Sarnecki,1,2,1,50
Erica Sauter,2,5,3,60
Josef Savel,3,9,5,56
Paul Sayo,2,6,4,67
Elija Schaub,1,2,0,0
Claudio Schivalocchi,1,1,0,0
Trudie Scholman,1,2,1,50
Andreas F. Schoopp,1,1,0,0
Adriaan Schönhage,2,4,0,0
Siri Sedberg,10,31,19,61
Unni Sedberg,3,12,10,83
Christine Sekkesæter,4,9,4,44
Malin Sele,4,9,3,33
Sander Sele,5,11,4,36
Stian Sele,22,59,24,41
Aida Selimotic,1,3,2,67
Natalia Serrano,1,3,2,67
Ørjan Sersch,1,2,0,0
Kristin Setterdahl,2,6,3,50
Lena Setterdahl,3,6,2,33
El Shadd,5,10,3,30
Mariusz Siemieniuch,1,5,5,100
Lilja Sigurdsdottir,3,6,2,33
Svavar Skuli Sigurdsson,8,16,3,19
Trond Sigvaldsen,1,2,1,50
Ole Henning Silden,2,4,1,25
Luiza Helena Da Silva,4,7,2,29
August Simonsen,2,5,3,60
Henning Simonsen,2,4,2,50
Annette Sivertsen,1,3,2,67
Amelie Sjöstrand,5,15,10,67
Lisa Sjöstrand,5,13,8,62
Ola Sjöstrand,8,22,12,55
Vetle Sjøstrøm-Orf,1,2,2,100
Vilde Sjøstrøm-Orf,1,2,0,0
Kristian Sjåholm,2,5,0,0
Rolf Manuel Skadsem,2,6,4,67
Filip Skadsheim,1,2,0,0
Olaf Skadsheim,2,5,1,20
Linus Skandsen,2,5,2,40
Louise Instebø Skarbøvik,6,16,7,44
Sunniva Instebø Skarbøvik,1,3,3,100
Emma Skarica,1,5,2,40
Marie Skarica,1,6,4,67
Benedicte Watvedt Skaug,3,10,3,30
Sturle Hoff Skigelstrand,5,20,16,80
Erling Dyrhaug Skjølås,1,3,2,67
Dyveke Ellingsen Skogen,1,1,0,0
Mathias Skoglund,1,1,0,0
Fredrik Skognes,2,3,0,0
Mauritz Skogøy,1,4,0,0
Annelise Skrunes,4,9,4,44
Egil Skåra,2,6,2,33
Kjetil Skåra,4,9,3,33
Simen Skåra,7,18,8,44
Karolina Anna Slabikowska,1,1,0,0
Gunnar Slettebø,1,3,2,67
Markus Slettebø,2,4,0,0
Sebastian Slettebø,1,2,0,0
Andrei Smerdov,6,19,9,47
Emil Kloster Snekkevik,1,2,0,0
Emma Baar Sola,2,5,2,40
Eirik Solhaug,2,5,2,40
Aud Solheim,7,18,9,50
Bjarte Solheim,1,1,0,0
Ida Solheim,1,3,1,33
Martin Solli,1,3,2,67
Linn Kristin Soma,1,2,0,0
Hilde Sommerfeldt,3,8,2,25
Leander Sommerfeldt,7,18,5,28
Andreas Sommernes,4,8,4,50
Kjetil Sommernes,5,13,6,46
Kristian Sommernes,10,32,22,69
Joakim Nikolay Sperre,1,6,6,100
Jørgen André Sperre,1,3,2,67
Ine Soltveit Stange,2,5,5,100
Are Stangeland,1,2,0,0
Bartlomiej Stasiak,8,21,13,62
Jakub Stasiak,2,5,2,40
Line Kringeland Staveland,1,1,0,0
Eivind Steinnes,2,6,3,50
Kristian Steinnes,3,9,7,78
Anna Stifanic,3,6,3,50
Iulia Stoian,2,6,1,17
Kjartan Stokka,8,19,8,42
Victoria Nesse Stokka,3,9,6,67
Gunn Marit Stokkeland,5,14,3,21
Gøril Stokkeland,1,3,2,67
Sondre Stokkeland,1,2,0,0
Birgit Storhaug,8,22,12,55
Brit Storhaug,7,20,9,45
Ole Storhaug,22,64,51,80
Elinor Bauer Storkaas,1,3,2,67
Ane Stormark,4,8,1,13
Lars Tarald Strand,3,6,1,17
Markus Bjørkelund Strand,1,3,2,67
Sverre Strand,3,8,5,63
Fredrik Strandmyr,2,5,3,60
Rune Strandmyr,2,8,7,88
Lars Ove Straumland,1,4,3,75
Henri Stubbe,1,1,1,100
Lena Støle,2,5,3,60
Jonas Ø. Støre,3,10,5,50
Kristoffer Ståhlbrand,2,2,1,50
Dejan Suboticki,1,3,2,67
Marcus Sulen,17,52,43,83
Otto Henning Sulen,8,19,9,47
Rebecca Sulen,7,16,9,56
Randi Sund,1,3,2,67
Tollak Sund,2,6,2,33
Ingrid Sunde-Bergesen,6,17,13,76
Ana Sundic,1,5,5,100
Erlend Sundøy,1,5,4,80
Karen Sundøy,1,3,2,67
Ricky Agus Supriyadi,1,2,0,0
Tomas Sutkaitis,1,2,0,0
Gabriel Svad,1,2,1,50
Nick Svendsen,18,41,15,37
Carin Marie Svensen,6,17,1,6
Cato Svindland,8,21,12,57
Marco Svindland,2,5,3,60
Didrik Jersin Sylvester-Jensen,2,6,4,67
Henrik Jersin Sylvester-Jensen,1,2,1,50
Olav Syrstad,1,2,0,0
Eskil Sægrov,2,3,0,0
Espen Særvoll,5,10,7,70
Pål Særvoll,8,18,5,28
André Sætren,1,1,0,0
Emma Sætren,2,3,0,0
Karl Emil Sødergren,1,2,0,0
Nicholas Jason Søderstrøm,1,2,1,50
Thelma Sømme,1,2,2,100
Frank Sørensen,1,2,1,50
Markus Sørensen,1,3,2,67
Una Sørtveit,1,2,1,50
Oliver Saarinen,1,1,0,0
Jørann Bore Søiland,2,8,6,75
Farid Taghiyev,2,4,1,25
Levi Tallaksen,1,2,1,50
Gøsta Tamminen,3,7,2,29
Marius Tangen,2,4,2,50
Anders Tengesdal,2,4,1,25
Gert Høien Tengesdal,2,4,1,25
Kjetil Tengesdal,9,22,13,59
Kristian Høien Tengesdal,10,28,19,68
Tord Høien Tengesdal,3,8,6,75
William Tengs,2,6,4,67
Julien Terrade,11,31,21,68
Martin Tetlie,1,2,0,0
William Thengs,1,3,2,67
Roar Thoen,3,6,2,33
Linn Thorsdahl,7,18,9,50
Grunde Thorsen,1,4,3,75
Bendik Aadnøy Thorvik,9,29,20,69
Sofia Østerhus Thorvik,9,24,13,54
Andreas Thunes,1,3,0,0
Sebastian Titlestad,1,1,1,100
Marius Tjelmeland,2,4,0,0
Cathrine Tjessem,16,39,17,44
Sofie Emilie Tjøstheim,6,15,8,53
Benjamin Tjåland,1,6,5,83
Kristin Tokvam,1,4,0,0
Boris Tomic,2,3,0,0
Aneta Ewa Tomkowicz,1,2,0,0
Antonina Hanna Tomkowicz,1,2,0,0
Aleksandra Georgieva Toneva,1,2,1,50
Mathias Tong,5,14,6,43
Sebastian Tong,3,6,2,33
Jarle Torgersen,17,22,4,18
Aya Toyoda,2,9,7,78
Kenji Toyoda,6,10,4,40
Christopher Tranberg,4,8,1,13
Karoline Trondsen,11,27,10,37
Simen Tungesvik,3,13,11,85
Hannah Dina Tuores-Bø,3,4,0,0
Kimberley Turner,1,1,0,0
Sturle Tvedten,6,16,8,50
Maren Helgø Tveit,3,8,0,0
Stella Tveit,1,2,1,50
Einar Tynes,1,2,1,50
Trine Carin Tynes,3,7,1,14
Terje Tønnessen,12,26,8,31
Andrea Westbø Tønnessen,1,2,1,50
Marlene Westbø Tønnessen,8,20,5,25
Veronica Westbø Tønnessen,4,10,5,50
Jan Frode Ugland,2,4,1,25
Mathias Ulland,2,3,0,0
Sindre Undem,12,23,9,39
Lean Undheim,2,3,1,33
Hanna Kuiper van der Valk,1,4,3,75
Rune Vandvik,2,4,1,25
Susanne Varming,1,4,2,50
Andrius Varnas,3,9,6,67
Lars Vattøy,18,46,30,65
Saskia Verkaik,7,20,11,55
Vegard Vik,2,3,0,0
Izolda Vlasova,2,6,5,83
Lars Olav Lilleng Vaagbø,1,1,0,0
Kristina Vårlid,1,3,0,0
Henrik Lorentz Wadel-Andersen,1,2,0,0
Britta Wahl,3,7,3,43
Thomas Wahl,1,1,0,0
Iver Butler Wang,11,25,11,44
John Butler Wang,1,3,1,33
Thor Butler Wang,17,52,30,58
Daniel Wangen,1,2,1,50
Fredrik Wangen,4,7,1,14
Lars Magnus Wespestad,3,5,0,0
Leif Inge Wetteland,4,11,6,55
Per Øyvind Wie,5,12,3,25
Hermann Steen Wiencke,1,2,1,50
Morten Wigesdal,1,3,2,67
Trym Wiig,3,8,6,75
Arild Wiig-Fisketjøn,17,58,43,74
Atle Wiig-Fisketjøn,20,68,40,59
Erik Christian Wiik,1,1,0,0
Jørgen Windelstad,3,9,6,67
Christian M Wirak,1,1,0,0
Jørgen Leiknes Wirak,4,13,10,77
William Malo Wirak,2,4,2,50
Øistein André Wirak,5,8,3,38
Thitikarn Wongparamate,4,10,4,40
Nicolai Eie Worren,1,3,2,67
Øistein Worren,1,2,0,0
Arjan Wylleman,2,4,0,0
Martin Flagstad Waage,1,1,0,0
Kevin Yang,1,2,0,0
Paulius Zakarevicius,2,5,3,60
Susan Zimdars,1,2,1,50
Mats Bram Anthonie Zweedijk,1,2,0,0
Antos Zwierzchowska,1,2,1,50
Zofia Zwierzchowska,1,3,2,67
Antoni Marcin Zwierzchowski,5,14,8,57
Michal Zych,1,2,0,0
Morten Ødeskaug,6,10,1,10
Pål Ødeskaug,4,6,2,33
Olve Tunheim Øgaard,1,4,1,25
Sindre Øie,1,2,0,0
Camilla Idsøe Øksnevad,1,2,0,0
Egil Øksnevad,4,9,2,22
Lise Østbø,1,3,0,0
Silje Kalvig Østdahl,3,9,5,56
Geir Østerhus,6,9,4,44
Johan Østvedt,1,4,3,75
Kristoffer Øverby,5,16,11,69
Maren Goa Aadnøy,1,3,1,33
Morten Goa Aadnøy,5,17,12,71
Morgan Aandal,7,14,2,14
Amber Leith Aarstrand,1,1,0,0
Erik Sedberg Aarthun,15,29,15,52
Inger Sedberg Aarthun,6,12,0,0
Lars Sedberg Aarthun,8,31,10,32
Rikke Aas,3,6,2,33
Anne Simonstad Aasbø,1,2,1,50
Petter Aase,7,11,4,36
Sindre Aase,18,29,10,34
Sigurd Åtland,7,18,9,50
Guro Åvendal,1,2,1,50
