Market,Region,Income group,GDP per adult 2022,Wealth per adult 2000,Wealth per adult 2022,Total wealth,Share of world wealth,Wealth data quality
Afghanistan,Asia-Pacific,Low,771,Very poor
Albania,Europe,Upper middle,8808,6644,34839,77,0.0,Poor
Algeria,Africa,Lower middle,7134,2849,12491,354,0.1,Poor
American Samoa,Asia-Pacific,Upper middle,25585,n.a.
Andorra,Europe,High,52477,n.a.
Angola,Africa,Lower middle,6829,396,5418,83,0.0,Very poor
Anguilla,Latin America,High,32835,n.a.
Antigua and Barbuda,Latin America,High,22736,11091,30634,2,0.0,Very poor
Argentina,Latin America,Upper middle,14800,13303,13323,420,0.1,Poor
Armenia,Asia-Pacific,Upper middle,9906,2184,34988,76,0.0,Poor
Aruba,Latin America,High,42408,36913,61622,5,0.0,Very poor
Australia,Asia-Pacific,High,89417,108656,496819,9720,2.1,Good
Austria,Europe,High,65268,115039,245225,1794,0.4,Satisfactory
Azerbaijan,Asia-Pacific,Upper middle,9605,1443,21578,157,0.0,Poor
Bahamas,Latin America,High,45475,43078,72971,21,0.0,Poor
Bahrain,Asia-Pacific,High,31911,45569,84313,116,0.0,Poor
Bangladesh,Asia-Pacific,Lower middle,3644,1026,9796,1079,0.2,Poor
Barbados,Latin America,High,25276,33781,91291,20,0.0,Poor
Belarus,Europe,Upper middle,9671,1984,34835,255,0.1,Poor
Belgium,Europe,High,65074,140800,352814,3195,0.7,Satisfactory
Belize,Latin America,Upper middle,11383,8102,14966,4,0.0,Poor
Benin,Africa,Lower middle,2836,576,2823,18,0.0,Very poor
Bermuda,North America,High,150738,n.a.
Bhutan,Asia-Pacific,Lower middle,4365,n.a.
Bolivia,Latin America,Lower middle,5802,2117,14222,105,0.0,Poor
Bosnia and Herzegovina,Europe,Upper middle,9702,6712,33593,88,0.0,Poor
Botswana,Africa,Upper middle,12114,2294,16567,24,0.0,Poor
Brazil,Latin America,Upper middle,11798,6108,29452,4628,1.0,Poor
British Virgin Islands,Latin America,High,83065,n.a.
Brunei,Asia-Pacific,High,53264,34088,39908,13,0.0,Very poor
Bulgaria,Europe,Upper middle,16437,3878,47074,258,0.1,Fair
Burkina Faso,Africa,Low,1952,229,1713,17,0.0,Very poor
Burundi,Africa,Low,779,199,947,5,0.0,Very poor
Cambodia,Asia-Pacific,Lower middle,2734,624,6036,64,0.0,Poor
Cameroon,Africa,Lower middle,3273,660,3271,44,0.0,Poor
Canada,North America,High,66744,114618,369577,11263,2.5,Good
Cape Verde,Africa,Lower middle,5210,n.a.
Cayman Islands,Latin America,High,142228,74557,243514,11,0.0,n.a.
Central African Rep.,Africa,Low,1058,144,952,2,0.0,Poor
Chad,Africa,Low,2212,156,1297,10,0.0,Poor
Chile,Latin America,High,21043,21117,54082,779,0.2,Satisfactory
Mainland China,China,Upper middle,15624,4247,75731,84485,18.6,Good
Colombia,Latin America,Upper middle,8230,4163,15464,564,0.1,Satisfactory
Comoros,Africa,Lower middle,2765,1735,5285,2,0.0,Poor
Congo Dem. Rep.,Africa,Low,1375,336,1662,71,0.0,Poor
Congo Rep.,Africa,Lower middle,4682,270,1465,4,0.0,Poor
Cook Islands,Asia-Pacific,High,29907,n.a.
Costa Rica,Latin America,Upper middle,19400,12062,55545,211,0.0,Poor
Cote d'Ivoire,Africa,Lower middle,5175,Poor
Croatia,Europe,High,21977,16143,70461,230,0.1,Fair
Cuba,Latin America,Upper middle,16349,n.a.
Curacao,Latin America,High,24407,n.a.
Cyprus,Europe,High,41666,60297,158321,109,0.0,Satisfactory
Czechia,Europe,High,35203,14715,90393,770,0.2,Good
Denmark,Europe,High,87815,110450,409954,1869,0.4,Good
Djibouti,Africa,Lower middle,6209,1081,3853,2,0.0,Poor
Dominica,Latin America,Upper middle,12531,8797,44406,2,0.0,Very poor
Dominican Rep.,Latin America,Upper middle,15196,n.a.
Ecuador,Latin America,Upper middle,9876,3061,21650,255,0.1,Poor
Egypt,Africa,Lower middle,5136,5642,20195,1249,0.3,Poor
El Salvador,Latin America,Lower middle,7344,8765,47422,204,0.0,Poor
Equatorial Guinea,Africa,Upper middle,20557,820,30333,25,0.0,Poor
Eritrea,Africa,Low,1348,332,3688,7,0.0,Poor
Estonia,Europe,High,37294,15831,78777,82,0.0,Satisfactory
Ethiopia,Africa,Low,1749,126,4905,300,0.1,Poor
Fiji,Asia-Pacific,Upper middle,8373,4562,17998,10,0.0,Poor
Finland,Europe,High,64860,73221,179986,792,0.2,Good
France,Europe,High,55986,106643,312235,15727,3.5,Good
French Guiana,Latin America,High,35935,n.a.
French Polynesia,Asia-Pacific,High,30267,22505,65563,13,0.0,n.a.
Gabon,Africa,Upper middle,16000,4241,16217,21,0.0,Poor
Gambia,Africa,Low,1673,1099,2996,4,0.0,Poor
Georgia,Asia-Pacific,Upper middle,9099,2264,28169,83,0.0,Poor
Germany,Europe,High,60635,96037,256179,17426,3.8,Good
Ghana,Africa,Lower middle,4101,349,6423,112,0.0,Very poor
Greece,Europe,High,26349,71106,105724,890,0.2,Good
Greenland,North America,High,81623,n.a.
Grenada,Latin America,Upper middle,15234,8963,64092,5,0.0,Poor
Guadeloupe,Latin America,High,46408,n.a.
Guam,Asia-Pacific,High,55835,n.a.
Guatemala,Latin America,Upper middle,8970,n.a.
Guinea,Africa,Low,2988,292,6638,43,0.0,Very poor
Guinea-Bissau,Africa,Low,1559,415,1791,2,0.0,Poor
Guyana,Latin America,Upper middle,29971,1327,18587,9,0.0,Poor
Haiti,Latin America,Low,1963,1619,626,4,0.0,Very poor
Honduras,Latin America,Lower middle,5073,Very poor
Hong Kong SAR,Asia-Pacific,High,57168,171057,551194,3493,0.8,Poor
Hungary,Europe,High,21460,12030,59348,458,0.1,Good
Iceland,Europe,High,102597,130986,498290,129,0.0,Poor
India,India,Lower middle,3561,2643,16500,15365,3.4,Good
Indonesia,Asia-Pacific,Lower middle,6673,2894,17457,3256,0.7,Fair
Iran,Asia-Pacific,Upper middle,12209,1588,51147,3034,0.7,Poor
Iraq,Asia-Pacific,Upper middle,11814,Very poor
Ireland,Europe,High,145085,126281,247080,913,0.2,Satisfactory
Israel,Asia-Pacific,High,84641,80732,235445,1368,0.3,Good
Italy,Europe,High,40776,120950,221370,11020,2.4,Good
Jamaica,Latin America,Upper middle,7888,8749,24547,51,0.0,Poor
Japan,Asia-Pacific,High,39638,191447,216078,22582,5.0,Good
Jordan,Asia-Pacific,Upper middle,7984,6859,38923,235,0.1,Poor
Kazakhstan,Asia-Pacific,Upper middle,17770,2533,58205,720,0.2,Satisfactory
Kenya,Africa,Lower middle,3776,515,14829,435,0.1,Poor
Kiribati,Asia-Pacific,Lower middle,3160,2914,10418,1,0.0,n.a.
Korea,Asia-Pacific,High,39594,50503,230760,9890,2.2,Good
Korea North,Asia-Pacific,Low,837,n.a.
Kosovo,Europe,Upper middle,8187,n.a.
Kuwait,Asia-Pacific,High,57217,62064,175072,564,0.1,Poor
Kyrgyzstan,Asia-Pacific,Lower middle,2730,733,8542,35,0.0,Poor
Laos,Asia-Pacific,Lower middle,2997,718,6191,28,0.0,Poor
Latvia,Europe,High,29751,7967,97583,141,0.0,Satisfactory
Lebanon,Asia-Pacific,Upper middle,40831,Poor
Lesotho,Africa,Lower middle,1789,405,1531,2,0.0,Poor
Liberia,Africa,Low,1493,701,5886,16,0.0,Poor
Libya,Africa,Upper middle,9557,11649,13420,62,0.0,Poor
Liechtenstein,Europe,High,216203,n.a.
Lithuania,Europe,High,33750,8103,69541,147,0.0,Fair
Luxembourg,Europe,High,163432,207592,585950,299,0.1,Satisfactory
Macao,Asia-Pacific,High,38666,n.a.
Macedonia,Europe,Upper middle,8491,Poor
Madagascar,Africa,Low,941,520,2257,33,0.0,Poor
Malawi,Africa,Low,1232,164,2415,23,0.0,Poor
Malaysia,Asia-Pacific,Upper middle,17506,7263,29314,678,0.1,Poor
Maldives,Asia-Pacific,Upper middle,15501,4063,25187,10,0.0,Very poor
Mali,Africa,Low,2036,227,2658,25,0.0,Poor
Malta,Europe,High,49948,52879,160265,58,0.0,Satisfactory
Marshall Islands,Asia-Pacific,Upper middle,7355,4829,12827,0,0.0,n.a.
Martinique,Latin America,High,45838,n.a.
Mauritania,Africa,Lower middle,4125,921,3013,8,0.0,Very poor
Mauritius,Africa,High,13122,11756,68846,68,0.0,Poor
Mayotte,Africa,High,27231,n.a.
Mexico,Latin America,Upper middle,16663,14899,55274,4863,1.1,Good
Micronesia,Asia-Pacific,Lower middle,5967,n.a.
Moldova,Europe,Lower middle,4490,982,20590,65,0.0,Very poor
Monaco,Europe,High,281461,n.a.
Mongolia,Asia-Pacific,Lower middle,7929,849,7578,16,0.0,Poor
Montenegro,Europe,Upper middle,12830,6411,81900,39,0.0,Poor
Montserrat,Latin America,Upper middle,23914,n.a.
Morocco,Africa,Lower middle,5298,3857,13862,347,0.1,Poor
Mozambique,Africa,Low,1179,186,1353,21,0.0,Poor
Myanmar,Asia-Pacific,Lower middle,1540,1662,7670,283,0.1,Very poor
Namibia,Africa,Upper middle,8264,2734,20690,30,0.0,Poor
Nauru,Asia-Pacific,High,23044,n.a.
Nepal,Asia-Pacific,Lower middle,1912,542,4672,90,0.0,Poor
Netherlands,Europe,High,73996,131636,358235,4869,1.1,Good
New Caledonia,Asia-Pacific,High,48822,n.a.
New Zealand,Asia-Pacific,High,66036,76683,388761,1426,0.3,Good
Nicaragua,Latin America,Lower middle,3666,4496,16083,69,0.0,Poor
Niger,Africa,Low,1460,152,1436,15,0.0,Very poor
Nigeria,Africa,Lower middle,4432,216,6879,699,0.2,Very poor
Northern Mariana Islands,Asia-Pacific,High,34040,n.a.
Norway,Europe,High,130181,100499,385338,1644,0.4,Good
Oman,Asia-Pacific,High,29718,21943,48951,189,0.0,Poor
Pakistan,Asia-Pacific,Lower middle,2278,1154,5226,678,0.1,Poor
Palau,Asia-Pacific,High,19170,n.a.
Panama,Latin America,High,24351,10000,50917,150,0.0,Poor
Papua New Guinea,Asia-Pacific,Lower middle,6097,996,8606,45,0.0,Very poor
Paraguay,Latin America,Upper middle,8627,3062,14809,68,0.0,Very poor
Peru,Latin America,Upper middle,10687,4415,22514,519,0.1,Poor
Philippines,Asia-Pacific,Lower middle,5622,3015,14486,1011,0.2,Poor
Poland,Europe,High,23091,10334,52741,1592,0.4,Satisfactory
Portugal,Europe,High,30599,52879,158840,1324,0.3,Satisfactory
Puerto Rico,Latin America,High,44223,n.a.
Qatar,Asia-Pacific,High,91421,35715,164992,407,0.1,Poor
Reunion,Africa,High,41623,n.a.
Romania,Europe,High,20147,4081,44320,667,0.1,Fair
Russia,Europe,Upper middle,18786,2751,39514,4386,1.0,Fair
Rwanda,Africa,Low,1749,188,5561,39,0.0,Very poor
Samoa,Asia-Pacific,Upper middle,7440,3268,11929,1,0.0,Very poor
San Marino,Europe,High,59957,n.a.
Sao Tome and Principe,Africa,Lower middle,4983,1808,4162,0,0.0,Very poor
Saudi Arabia,Asia-Pacific,High,42666,37669,90975,2268,0.5,Poor
Senegal,Africa,Lower middle,3273,1126,5009,43,0.0,Poor
Serbia,Europe,Upper middle,11806,2040,34080,186,0.0,Poor
Seychelles,Africa,High,24675,12067,94620,7,0.0,Poor
Sierra Leone,Africa,Low,971,62,749,3,0.0,Poor
Singapore,Asia-Pacific,High,90086,107007,382957,1906,0.4,Good
Slovakia,Europe,High,26469,14750,62125,270,0.1,Satisfactory
Slovenia,Europe,High,37730,34195,112526,188,0.0,Satisfactory
Solomon Islands,Asia-Pacific,Lower middle,4557,3749,11660,4,0.0,Very poor
Somalia,Africa,Low,1136,n.a.
South Africa,Africa,Upper middle,10100,9702,23956,926,0.2,Good
South Sudan,Africa,Low,1194,n.a.
Spain,Europe,High,37444,76919,224209,8487,1.9,Good
Sri Lanka,Asia-Pacific,Lower middle,4742,2867,23991,359,0.1,Poor
St Maarten,Latin America,High,43199,n.a.
St. Kitts and Nevis,Latin America,High,26159,13105,69872,3,0.0,n.a.
St. Lucia,Latin America,Upper middle,15417,9465,42301,6,0.0,Very poor
St. Vincent & Grenadines,Latin America,Upper middle,12051,5414,23728,2,0.0,Poor
Sudan,Africa,2222,Poor
Suriname,Latin America,Upper middle,7508,2439,7885,3,0.0,Very poor
Swaziland,Africa,Lower middle,6447,Poor
Sweden,Europe,High,72116,77253,296800,2335,0.5,Good
Switzerland,Europe,High,120431,231354,685226,4829,1.1,Good
Syria,Asia-Pacific,Low,2024,4296,1911,23,0.0,Poor
Taiwan,Asia-Pacific,High,38464,92298,273788,5422,1.2,Good
Tajikistan,Asia-Pacific,Low,2040,355,4592,25,0.0,Poor
Tanzania,Africa,Lower middle,2687,445,4869,145,0.0,Very poor
Thailand,Asia-Pacific,Upper middle,9187,6356,25956,1421,0.3,Satisfactory
Timor-Leste,Asia-Pacific,Lower middle,2779,Very poor
Togo,Africa,Low,1848,355,1520,7,0.0,Very poor
Tonga,Asia-Pacific,Upper middle,8087,13518,55898,3,0.0,Poor
Trinidad and Tobago,Latin America,High,26862,10455,55939,58,0.0,Poor
Tunisia,Africa,Lower middle,5555,7410,21087,177,0.0,Poor
Turkey,Asia-Pacific,Upper middle,10433,13833,17578,1041,0.2,Satisfactory
Turkmenistan,Asia-Pacific,Upper middle,17044,Very poor
Turks and Caicos Islands,Latin America,High,39075,n.a.
Tuvalu,Asia-Pacific,Upper middle,7773,n.a.
Uganda,Africa,Low,2176,186,2780,60,0.0,Very poor
Ukraine,Europe,Lower middle,3928,Poor
United Arab Emirates,Asia-Pacific,High,60929,66674,152556,1242,0.3,Poor
United Kingdom,Europe,High,56945,148613,302783,15972,3.5,Good
United States,North America,High,100380,215146,551347,139866,30.8,Good
Uruguay,Latin America,High,28848,21830,84778,217,0.0,Fair
Uzbekistan,Asia-Pacific,Lower middle,3655,n.a.
Vanuatu,Asia-Pacific,Lower middle,5937,5217,16347,3,0.0,Poor
Venezuela,Latin America,Upper middle,9399,8321,33420,648,0.1,Very poor
Vietnam,Asia-Pacific,Lower middle,5773,1595,14569,1017,0.2,Poor
Virgin Islands (U.S.),Latin America,High,67589,n.a.
West Bank and Gaza,Asia-Pacific,Lower middle,7006,n.a.
Yemen,Asia-Pacific,Low,1271,1062,6492,105,0.0,Very poor
Zambia,Africa,Lower middle,2863,245,3761,34,0.0,Poor
Zimbabwe,Africa,Lower middle,2977,Very poor
